,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
32,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2006,2006,1000 persons,103392.912,X,International reliable sources,
33,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2006,2006,1000 persons,53701.081,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
34,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2007,2007,1000 persons,55132.929,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
35,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2007,2007,1000 persons,105200.045,X,International reliable sources,
36,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2008,2008,1000 persons,107040.193,X,International reliable sources,
37,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2008,2008,1000 persons,56604.41,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
38,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2009,2009,1000 persons,58121.842,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
39,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2009,2009,1000 persons,108927.738,X,International reliable sources,
40,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,110868.669,X,International reliable sources,
41,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,59691.513,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
42,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,61316.426,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
43,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,112867.839,X,International reliable sources,
44,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,114917.348,X,International reliable sources,
45,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,62994.185,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
46,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,64713.498,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
47,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,116999.097,X,International reliable sources,
48,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,119084.632,X,International reliable sources,
49,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,66461.625,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
50,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,68226.783,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
51,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,121153.73,X,International reliable sources,
52,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,123198.205,X,International reliable sources,
53,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,70005.271,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
54,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,71795.7,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
55,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,125220.255,X,International reliable sources,
56,OA,Annual population,165,Pakistan,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,127183.388,X,International reliable sources,
57,OA,Annual population,165,Pakistan,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,73630.43,X,International reliable sources,"UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
